shot,tc_in,tc_out,dur_s,asset_type,master_filename,narration,overlay,transition
117,00:07:44:00,00:07:48:00,4,STILL_PHOTO,117_07m44s-07m48s_rest-not-leftover.png,A line saying rest is not the leftover after usefulness.,REST,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
118,00:07:48:00,00:07:52:00,4,STILL_PHOTO,118_07m48s-07m52s_tomorrow-alarm.png,"Tomorrow, your alarm may still ring before you are ready.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
119,00:07:52:00,00:07:56:00,4,STILL_PHOTO,119_07m52s-07m56s_calendar-and-rent.png,Your calendar may still be full. Your rent will still exist.,RENT,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
120,00:07:56:00,00:08:00:00,4,ANIMATE_CLIP,120_07m56s-08m00s_first-notification-question.png,Nothing magical changes. But the first notification can become a question.,,Question-mark match cut into the held one-hour token.
121,00:08:00:00,00:08:04:00,4,STILL_PHOTO,121_08m00s-08m04s_who-needs-this-hour.png,Who needs this hour?,1 HOUR,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
122,00:08:04:00,00:08:08:00,4,STILL_PHOTO,122_08m04s-08m08s_necessary-or-inherited.png,"Which part is necessary, and which part has simply been inherited?",NEEDED / INHERITED,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
123,00:08:08:00,00:08:12:00,4,STILL_PHOTO,123_08m08s-08m12s_not-entire-week.png,"You may not reclaim an entire week, and nobody is asking you to.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
124,00:08:12:00,00:08:16:00,4,STILL_PHOTO,124_08m12s-08m16s_four-small-protections.png,"But you can protect one walk, one meal, one conversation, one unfinished afternoon.",,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
125,00:08:16:00,00:08:20:00,4,ANIMATE_CLIP,125_08m16s-08m20s_not-optimization-not-reward.png,Not as productivity recovery. Not as a reward you earned.,OPTIMIZE / EARN IT,"Let crossed cards fade back, then hard cut to the settled expanded life-cards."
126,00:08:20:00,00:08:24:00,4,STILL_PHOTO,126_08m20s-08m24s_life-more-than-schedule.png,As proof that your life is more than a schedule someone else can fill.,,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
127,00:08:24:00,00:08:28:00,4,STILL_PHOTO,127_08m24s-08m28s_maybe-you-work-more.png,Maybe you work more than a caveman.,,Hard cut to silent final alarm; leave 12 frames of silence after final VO.
128,00:08:28:00,00:08:32:00,4,STILL_PHOTO,128_08m28s-08m32s_taught-normal.png,But the deeper truth is this: you were taught to call it normal.,NORMAL → ?,Hard cut at the shot boundary; use no dissolve unless a 2–4-frame paper breathing gap is needed.
